Model,Average RMSE,Standard Deviation,Maximum RMSE,Minimum RMSE,Average R²
Linear Regression,0.6577584589035678,0.0,0.6577584589035678,0.6577584589035678,0.9999609736950622
Decision Tree Regression,8.249472616519604,0.17648111781879372,8.425953734338398,8.07299149870081,0.9968070275694267
Random Forest Regression,7.888862337042985,1.3319123137199482,9.220774650762934,6.556950023323037,0.9984552642303217
Gradient Boosted Tree Regression,7.8461113719832225,0.6891748669104318,8.535286238893654,7.156936505072791,0.9980402788162797
